commodity,market,price_rwf,price_date
Cabbage,Kicukiro,454,2025-06-12
Spinach,Kimisagara,312,2025-06-13
Maize,Kigali City Market,599,2025-06-15
Sorghum,Kimisagara,641,2025-06-15
Maize,Kimisagara,500,2025-06-15
Maize Flour,Nyabugogo,3669,2025-06-15
Spinach,Kimisagara,311,2025-06-16
Bananas,Kicukiro,663,2025-06-16
Rice,Kigali City Market,11230,2025-06-17
Rice,Kicukiro,10940,2025-06-17
Beans (Dry),Kigali City Market,1371,2025-06-18
Maize,Kicukiro,567,2025-06-19
Maize Flour,Kimironko,3866,2025-06-19
Spinach,Kimironko,323,2025-06-19
Cabbage,Nyabugogo,394,2025-06-19
Beans (Dry),Kimironko,1345,2025-06-20
Maize Flour,Kimisagara,3836,2025-06-20
Bananas,Kicukiro,628,2025-06-21
Flour,Nyabugogo,3689,2025-06-23
Spinach,Kimironko,318,2025-06-24
Sorghum,Nyabugogo,656,2025-06-25
Beans (Dry),Nyabugogo,1205,2025-06-25
Potatoes,Kicukiro,802,2025-06-26
Bananas,Nyabugogo,596,2025-06-26
Spinach,Kimisagara,294,2025-06-26
Flour,Kimironko,3588,2025-06-26
Beans (Dry),Kimironko,1296,2025-06-26
Bananas,Kicukiro,611,2025-06-26
Potatoes,Kimisagara,749,2025-06-27
Rice,Kimisagara,9692,2025-06-27
Flour,Kigali City Market,3765,2025-06-28
Maize,Kigali City Market,579,2025-06-28
Rice,Kigali City Market,11535,2025-06-29
Sorghum,Kigali City Market,715,2025-06-29
Beans (Dry),Nyabugogo,1149,2025-06-29
Maize,Nyabugogo,492,2025-06-30
Sorghum,Kicukiro,686,2025-06-30
Rice,Kicukiro,11814,2025-07-01
Potatoes,Kimironko,789,2025-07-01
Beans (Dry),Kimironko,1218,2025-07-02
Beans (Dry),Kimisagara,1104,2025-07-03
Beans (Dry),Kicukiro,1252,2025-07-03
Sorghum,Nyabugogo,682,2025-07-04
Spinach,Kimisagara,284,2025-07-04
Cabbage,Kicukiro,426,2025-07-04
Spinach,Kigali City Market,307,2025-07-05
Maize Flour,Kimisagara,3483,2025-07-06
Potatoes,Kimisagara,745,2025-07-06
Rice,Kimisagara,10100,2025-07-06
Maize Flour,Kigali City Market,4092,2025-07-07
Rice,Kigali City Market,11073,2025-07-07
Rice,Kimironko,11361,2025-07-08
Bananas,Nyabugogo,565,2025-07-08
Flour,Nyabugogo,3373,2025-07-08
Maize,Kimisagara,506,2025-07-09
Spinach,Kigali City Market,287,2025-07-09
Maize,Kicukiro,520,2025-07-10
Cabbage,Kigali City Market,411,2025-07-11
Sorghum,Kimironko,691,2025-07-11
Cabbage,Nyabugogo,370,2025-07-12
Potatoes,Kicukiro,769,2025-07-13
Bananas,Kimironko,583,2025-07-14
Rice,Kimisagara,10007,2025-07-14
Maize,Nyabugogo,499,2025-07-15
Cabbage,Kicukiro,399,2025-07-15
Sorghum,Kigali City Market,685,2025-07-15
Bananas,Nyabugogo,547,2025-07-15
Flour,Kimisagara,3538,2025-07-16
Sorghum,Kimironko,661,2025-07-16
Beans (Dry),Nyabugogo,1143,2025-07-16
Sorghum,Kicukiro,722,2025-07-16
Bananas,Kimisagara,520,2025-07-17
Sorghum,Kimisagara,654,2025-07-18
Cabbage,Kimironko,405,2025-07-18
Cabbage,Kimironko,367,2025-07-19
Rice,Kicukiro,10703,2025-07-19
Flour,Kigali City Market,3795,2025-07-19
Beans (Dry),Kimisagara,1048,2025-07-19
Cabbage,Kimironko,391,2025-07-19
Flour,Kicukiro,3592,2025-07-19
Spinach,Nyabugogo,262,2025-07-21
Flour,Kigali City Market,3840,2025-07-21
Maize Flour,Kimisagara,3520,2025-07-21
Beans (Dry),Kicukiro,1146,2025-07-21
Cabbage,Kimironko,377,2025-07-22
Maize Flour,Kigali City Market,3818,2025-07-23
Maize,Kimironko,535,2025-07-23
Beans (Dry),Kicukiro,1183,2025-07-23
Bananas,Nyabugogo,520,2025-07-23
Maize Flour,Kicukiro,3915,2025-07-24
Spinach,Kimisagara,238,2025-07-25
Cabbage,Kicukiro,389,2025-07-25
Bananas,Kigali City Market,543,2025-07-25
Maize Flour,Kigali City Market,4058,2025-07-25
Rice,Kimironko,10376,2025-07-26
Rice,Kimironko,11031,2025-07-26
Flour,Kigali City Market,3827,2025-07-27
Rice,Kigali City Market,11094,2025-07-27
Bananas,Kimisagara,492,2025-07-27
Sorghum,Kimironko,640,2025-07-28
Rice,Kicukiro,10301,2025-07-29
Rice,Kimironko,10180,2025-07-30
Potatoes,Kigali City Market,782,2025-07-30
Potatoes,Kimironko,702,2025-07-31
Cabbage,Kimironko,371,2025-07-31
Cabbage,Kicukiro,378,2025-07-31
Beans (Dry),Kimisagara,1045,2025-07-31
Cabbage,Kimironko,362,2025-07-31
Rice,Kimisagara,9976,2025-07-31
Bananas,Nyabugogo,512,2025-07-31
Maize,Kicukiro,527,2025-08-01
Flour,Kimironko,3572,2025-08-01
Maize,Kimisagara,454,2025-08-01
Sorghum,Nyabugogo,625,2025-08-01
Potatoes,Kimisagara,647,2025-08-02
Sorghum,Nyabugogo,603,2025-08-03
Spinach,Kicukiro,269,2025-08-04
Maize,Kimisagara,449,2025-08-04
Maize,Kicukiro,517,2025-08-04
Cabbage,Kigali City Market,387,2025-08-04
Cabbage,Kimironko,349,2025-08-05
Cabbage,Kimisagara,319,2025-08-05
Flour,Kicukiro,3831,2025-08-05
Maize,Kigali City Market,518,2025-08-06
Potatoes,Kimisagara,680,2025-08-06
Beans (Dry),Kigali City Market,1134,2025-08-07
Bananas,Kicukiro,509,2025-08-07
Bananas,Kicukiro,512,2025-08-07
Flour,Kicukiro,3561,2025-08-09
Flour,Kicukiro,3565,2025-08-09
Flour,Kicukiro,3509,2025-08-09
Flour,Nyabugogo,3426,2025-08-09
Rice,Kimironko,10126,2025-08-09
Bananas,Kimisagara,458,2025-08-11
Maize,Kicukiro,482,2025-08-11
Sorghum,Kigali City Market,678,2025-08-11
Beans (Dry),Kimironko,1152,2025-08-11
Rice,Nyabugogo,10309,2025-08-12
Maize,Kimisagara,437,2025-08-12
Beans (Dry),Kigali City Market,1186,2025-08-13
Bananas,Kimisagara,472,2025-08-13
Spinach,Kigali City Market,254,2025-08-13
Flour,Nyabugogo,3208,2025-08-13
Beans (Dry),Kimironko,1058,2025-08-14
Sorghum,Nyabugogo,622,2025-08-15
Sorghum,Kicukiro,652,2025-08-15
Sorghum,Kicukiro,661,2025-08-15
Maize Flour,Kicukiro,3605,2025-08-15
Maize Flour,Kicukiro,3869,2025-08-15
Maize,Kimisagara,465,2025-08-15
Beans (Dry),Nyabugogo,1074,2025-08-16
Spinach,Kimisagara,213,2025-08-16
Flour,Nyabugogo,3489,2025-08-17
Potatoes,Kicukiro,678,2025-08-17
Maize Flour,Kicukiro,3706,2025-08-17
Cabbage,Kimironko,345,2025-08-17
Maize Flour,Kigali City Market,3734,2025-08-17
Spinach,Kimironko,233,2025-08-18
Sorghum,Kimisagara,619,2025-08-18
Flour,Kimisagara,3422,2025-08-19
Sorghum,Kimisagara,574,2025-08-19
Flour,Kimisagara,3104,2025-08-21
Bananas,Kigali City Market,503,2025-08-21
Bananas,Nyabugogo,448,2025-08-21
Maize,Kimironko,486,2025-08-21
Sorghum,Kicukiro,672,2025-08-22
Bananas,Kigali City Market,500,2025-08-22
Rice,Kimironko,10417,2025-08-22
Sorghum,Nyabugogo,621,2025-08-23
Flour,Kimisagara,3378,2025-08-23
Maize Flour,Kimisagara,3271,2025-08-23
Bananas,Nyabugogo,446,2025-08-23
Sorghum,Nyabugogo,628,2025-08-23
Maize Flour,Kimironko,3631,2025-08-23
Potatoes,Kicukiro,659,2025-08-23
Potatoes,Kicukiro,667,2025-08-24
Sorghum,Kimisagara,602,2025-08-25
Maize,Kicukiro,497,2025-08-25
Potatoes,Kigali City Market,682,2025-08-25
Rice,Nyabugogo,9419,2025-08-25
Beans (Dry),Nyabugogo,1026,2025-08-25
Sorghum,Kimironko,608,2025-08-26
Bananas,Nyabugogo,432,2025-08-26
Maize,Nyabugogo,460,2025-08-26
Potatoes,Kigali City Market,671,2025-08-27
Bananas,Kimisagara,421,2025-08-27
Spinach,Kimironko,234,2025-08-28
Maize Flour,Nyabugogo,3374,2025-08-28
Flour,Kimironko,3562,2025-08-29
Potatoes,Kicukiro,709,2025-08-29
Sorghum,Kigali City Market,653,2025-08-29
Maize,Kigali City Market,489,2025-08-29
Sorghum,Nyabugogo,624,2025-08-29
Bananas,Kigali City Market,467,2025-08-30
Maize Flour,Kimironko,3616,2025-08-30
Flour,Kicukiro,3758,2025-08-30
Maize,Kigali City Market,468,2025-08-31
Spinach,Kimironko,227,2025-09-01
Bananas,Kimisagara,427,2025-09-01
Spinach,Kicukiro,232,2025-09-01
Sorghum,Kigali City Market,627,2025-09-01
Flour,Kicukiro,3481,2025-09-01
Potatoes,Kicukiro,647,2025-09-01
Beans (Dry),Nyabugogo,1032,2025-09-01
Maize,Kimisagara,414,2025-09-02
Cabbage,Nyabugogo,326,2025-09-02
Flour,Nyabugogo,3201,2025-09-03
Maize,Kimisagara,440,2025-09-03
Potatoes,Kimisagara,599,2025-09-03
Rice,Kicukiro,10019,2025-09-04
Sorghum,Kimisagara,585,2025-09-04
Beans (Dry),Kimironko,1006,2025-09-04
Rice,Kigali City Market,11073,2025-09-04
Rice,Kicukiro,10396,2025-09-04
Rice,Kigali City Market,10733,2025-09-04
Spinach,Nyabugogo,215,2025-09-04
Potatoes,Kigali City Market,701,2025-09-05
Maize,Kicukiro,465,2025-09-05
Beans (Dry),Kigali City Market,1083,2025-09-05
Potatoes,Kigali City Market,667,2025-09-05
Beans (Dry),Kigali City Market,1121,2025-09-05
Maize Flour,Nyabugogo,3262,2025-09-06
Potatoes,Kimironko,661,2025-09-06
Bananas,Kimironko,457,2025-09-07
