commodity,market,price_rwf,price_date
Maize,Nyabugogo,542,2024-02-08
Rice,Nyabugogo,11018,2024-02-08
Maize,Kimironko,577,2024-02-08
Cabbage,Kicukiro,477,2024-02-08
Flour,Kicukiro,4052,2024-02-08
Bananas,Kimironko,685,2024-02-08
Maize Flour,Kimironko,4009,2024-02-08
Flour,Kicukiro,3922,2024-02-09
Maize Flour,Kigali City Market,4314,2024-02-09
Potatoes,Kigali City Market,936,2024-02-09
Flour,Nyabugogo,3546,2024-02-09
Sorghum,Kigali City Market,748,2024-02-09
Beans (Dry),Kimironko,1332,2024-02-10
Beans (Dry),Kicukiro,1371,2024-02-10
Rice,Kicukiro,11700,2024-02-10
Maize,Kimisagara,552,2024-02-11
Rice,Nyabugogo,10319,2024-02-11
Maize Flour,Kimironko,4110,2024-02-11
Potatoes,Kimisagara,864,2024-02-12
Maize Flour,Kimisagara,3802,2024-02-12
Cabbage,Kicukiro,474,2024-02-13
Rice,Kigali City Market,11885,2024-02-13
Rice,Kimironko,11534,2024-02-13
Spinach,Kicukiro,356,2024-02-14
Maize Flour,Kimisagara,3943,2024-02-14
Flour,Kicukiro,3962,2024-02-14
Spinach,Kicukiro,349,2024-02-15
Flour,Nyabugogo,3703,2024-02-16
Sorghum,Kicukiro,789,2024-02-16
Flour,Kigali City Market,4056,2024-02-16
Cabbage,Kimisagara,435,2024-02-16
Rice,Kicukiro,11509,2024-02-17
Maize Flour,Nyabugogo,3917,2024-02-17
Maize Flour,Kimisagara,3944,2024-02-17
Flour,Kigali City Market,4172,2024-02-17
Sorghum,Kimisagara,721,2024-02-17
Flour,Kicukiro,4173,2024-02-17
Bananas,Kicukiro,703,2024-02-18
Maize,Kigali City Market,598,2024-02-18
Sorghum,Kicukiro,781,2024-02-19
Sorghum,Kimisagara,719,2024-02-19
Potatoes,Kigali City Market,929,2024-02-19
Spinach,Kimisagara,329,2024-02-19
Rice,Kimironko,11041,2024-02-19
Rice,Nyabugogo,10501,2024-02-20
Maize Flour,Kimisagara,3876,2024-02-21
Cabbage,Kigali City Market,514,2024-02-21
Rice,Kicukiro,12213,2024-02-21
Flour,Kimironko,4026,2024-02-21
Maize Flour,Nyabugogo,3829,2024-02-22
Maize Flour,Kimironko,4138,2024-02-22
Sorghum,Kimironko,751,2024-02-22
Maize Flour,Kigali City Market,4245,2024-02-22
Cabbage,Kimironko,504,2024-02-22
Cabbage,Kigali City Market,485,2024-02-23
Cabbage,Kicukiro,497,2024-02-24
Sorghum,Kimisagara,712,2024-02-24
Bananas,Nyabugogo,676,2024-02-24
Cabbage,Kimisagara,432,2024-02-25
Potatoes,Kimisagara,888,2024-02-25
Maize,Kimironko,591,2024-02-25
Rice,Kicukiro,11472,2024-02-26
Potatoes,Kicukiro,971,2024-02-27
Cabbage,Kimironko,504,2024-02-27
Maize Flour,Kigali City Market,4282,2024-02-27
Spinach,Nyabugogo,354,2024-02-27
Beans (Dry),Nyabugogo,1280,2024-02-28
Potatoes,Kimironko,933,2024-02-28
Maize,Nyabugogo,590,2024-02-29
Bananas,Kigali City Market,758,2024-03-01
Spinach,Nyabugogo,367,2024-03-01
Rice,Kimisagara,10869,2024-03-01
Spinach,Kimironko,384,2024-03-02
Sorghum,Kigali City Market,837,2024-03-02
Potatoes,Kimironko,968,2024-03-02
Cabbage,Kicukiro,490,2024-03-04
Rice,Kimironko,11441,2024-03-04
Maize Flour,Kimisagara,3950,2024-03-05
Maize Flour,Kimisagara,4071,2024-03-05
Flour,Kigali City Market,4054,2024-03-05
Rice,Nyabugogo,10527,2024-03-05
Beans (Dry),Kimironko,1413,2024-03-06
Cabbage,Kigali City Market,486,2024-03-06
Cabbage,Kimisagara,472,2024-03-07
Beans (Dry),Nyabugogo,1317,2024-03-07
Spinach,Kicukiro,379,2024-03-08
Maize Flour,Kicukiro,4523,2024-03-09
Spinach,Kigali City Market,386,2024-03-09
Maize Flour,Nyabugogo,4031,2024-03-09
Maize Flour,Kigali City Market,4286,2024-03-10
Maize Flour,Nyabugogo,3941,2024-03-11
Flour,Kimironko,4076,2024-03-11
Cabbage,Kimironko,518,2024-03-11
Bananas,Kigali City Market,755,2024-03-11
Spinach,Nyabugogo,342,2024-03-12
Cabbage,Kimironko,507,2024-03-12
Rice,Nyabugogo,11285,2024-03-12
Flour,Kimironko,4073,2024-03-12
Maize,Kimironko,583,2024-03-12
Maize,Kimironko,589,2024-03-13
Maize,Kimironko,597,2024-03-13
Beans (Dry),Kicukiro,1447,2024-03-13
Bananas,Kigali City Market,756,2024-03-13
Sorghum,Kicukiro,810,2024-03-14
Rice,Kigali City Market,11997,2024-03-14
Flour,Kigali City Market,4216,2024-03-14
Rice,Kimisagara,11188,2024-03-15
Cabbage,Nyabugogo,463,2024-03-15
Cabbage,Nyabugogo,455,2024-03-15
Maize,Kicukiro,609,2024-03-15
Beans (Dry),Kimironko,1452,2024-03-15
Maize,Kimironko,595,2024-03-16
Potatoes,Kimironko,932,2024-03-16
Flour,Kigali City Market,4157,2024-03-17
Flour,Kimironko,4036,2024-03-17
Maize,Kicukiro,622,2024-03-18
Potatoes,Kicukiro,978,2024-03-19
Potatoes,Kimisagara,901,2024-03-19
Maize Flour,Kicukiro,4290,2024-03-19
Sorghum,Kimironko,739,2024-03-19
Maize Flour,Kimisagara,4086,2024-03-20
Spinach,Kimironko,402,2024-03-21
Spinach,Kimisagara,354,2024-03-21
Spinach,Kimisagara,337,2024-03-21
Sorghum,Kimisagara,702,2024-03-22
Flour,Kicukiro,4162,2024-03-22
Flour,Nyabugogo,3624,2024-03-23
Flour,Nyabugogo,3876,2024-03-24
Maize Flour,Kicukiro,4285,2024-03-24
Spinach,Kicukiro,411,2024-03-25
Maize,Kimisagara,560,2024-03-25
Sorghum,Nyabugogo,765,2024-03-25
Spinach,Kimisagara,349,2024-03-25
Bananas,Kigali City Market,743,2024-03-25
Flour,Kigali City Market,4346,2024-03-26
Beans (Dry),Kimisagara,1328,2024-03-26
Beans (Dry),Kimironko,1455,2024-03-27
Flour,Kigali City Market,4010,2024-03-27
Potatoes,Kimisagara,851,2024-03-27
Rice,Kigali City Market,11731,2024-03-28
Potatoes,Kigali City Market,975,2024-03-28
Maize Flour,Kimisagara,3769,2024-03-29
Cabbage,Kimisagara,468,2024-03-30
Potatoes,Nyabugogo,928,2024-03-30
Maize,Kimironko,591,2024-03-30
Maize,Kicukiro,602,2024-03-30
Bananas,Nyabugogo,700,2024-03-30
Cabbage,Kimisagara,460,2024-03-30
Maize,Kimisagara,542,2024-03-30
Bananas,Kimironko,763,2024-03-31
Flour,Nyabugogo,3837,2024-04-02
Beans (Dry),Kigali City Market,1487,2024-04-02
Bananas,Nyabugogo,689,2024-04-02
Beans (Dry),Kimironko,1439,2024-04-03
Rice,Kimisagara,10662,2024-04-03
Spinach,Kigali City Market,391,2024-04-04
Maize,Kicukiro,596,2024-04-05
Beans (Dry),Kicukiro,1477,2024-04-05
Flour,Nyabugogo,3732,2024-04-06
Cabbage,Kigali City Market,505,2024-04-06
Maize,Kicukiro,640,2024-04-07
Rice,Kimironko,11993,2024-04-07
Spinach,Nyabugogo,382,2024-04-07
Beans (Dry),Kimironko,1438,2024-04-07
Maize Flour,Kicukiro,4503,2024-04-08
Flour,Nyabugogo,3909,2024-04-08
Maize,Nyabugogo,574,2024-04-08
Rice,Kicukiro,11794,2024-04-09
Sorghum,Kicukiro,814,2024-04-09
Rice,Kicukiro,11814,2024-04-10
Cabbage,Kigali City Market,514,2024-04-11
Flour,Kimironko,3868,2024-04-12
Sorghum,Kimironko,814,2024-04-12
Sorghum,Kicukiro,778,2024-04-12
Cabbage,Kigali City Market,502,2024-04-12
Rice,Kimironko,11175,2024-04-12
Cabbage,Kigali City Market,500,2024-04-13
Sorghum,Nyabugogo,750,2024-04-13
Rice,Kicukiro,11666,2024-04-14
Cabbage,Kimisagara,472,2024-04-14
Spinach,Kigali City Market,383,2024-04-15
Spinach,Kigali City Market,393,2024-04-15
Beans (Dry),Kicukiro,1545,2024-04-16
Potatoes,Kigali City Market,1017,2024-04-16
Beans (Dry),Kimisagara,1331,2024-04-16
Rice,Kicukiro,12158,2024-04-17
Flour,Kimisagara,3727,2024-04-17
Beans (Dry),Kimisagara,1379,2024-04-17
Maize Flour,Nyabugogo,3985,2024-04-17
Sorghum,Kimisagara,705,2024-04-18
Beans (Dry),Nyabugogo,1333,2024-04-18
Beans (Dry),Kimisagara,1310,2024-04-18
Maize,Kimisagara,544,2024-04-19
Spinach,Kigali City Market,409,2024-04-19
Bananas,Nyabugogo,699,2024-04-19
Rice,Nyabugogo,11203,2024-04-19
Maize Flour,Kicukiro,4198,2024-04-20
Spinach,Kimisagara,365,2024-04-20
Flour,Kimironko,4089,2024-04-21
Beans (Dry),Kimisagara,1366,2024-04-21
Cabbage,Nyabugogo,465,2024-04-22
Cabbage,Nyabugogo,464,2024-04-22
Rice,Kimisagara,10520,2024-04-22
Flour,Nyabugogo,3664,2024-04-22
Spinach,Nyabugogo,346,2024-04-22
Sorghum,Kimisagara,745,2024-04-23
Cabbage,Kigali City Market,516,2024-04-23
Rice,Nyabugogo,11343,2024-04-23
Rice,Kicukiro,12194,2024-04-23
Maize,Kimironko,638,2024-04-24
Flour,Kicukiro,4191,2024-04-24
Cabbage,Kicukiro,522,2024-04-25
Potatoes,Kicukiro,994,2024-04-25
Beans (Dry),Kigali City Market,1444,2024-04-25
Maize,Nyabugogo,581,2024-04-26
Cabbage,Kigali City Market,528,2024-04-27
Spinach,Nyabugogo,350,2024-04-27
Beans (Dry),Kicukiro,1490,2024-04-28
Potatoes,Kimisagara,841,2024-04-28
Bananas,Kigali City Market,769,2024-04-28
Potatoes,Kicukiro,987,2024-04-29
Sorghum,Kigali City Market,808,2024-04-29
Rice,Kigali City Market,11512,2024-04-29
Rice,Kicukiro,12280,2024-04-30
Rice,Kicukiro,12209,2024-04-30
Maize Flour,Kicukiro,4575,2024-04-30
Maize Flour,Kimisagara,3896,2024-04-30
Sorghum,Kicukiro,778,2024-04-30
Bananas,Nyabugogo,679,2024-05-01
Potatoes,Nyabugogo,919,2024-05-01
Flour,Nyabugogo,3825,2024-05-01
Sorghum,Kicukiro,761,2024-05-01
Spinach,Kicukiro,366,2024-05-02
Maize,Nyabugogo,580,2024-05-02
Bananas,Kigali City Market,724,2024-05-03
Flour,Nyabugogo,3694,2024-05-03
Flour,Kimironko,3945,2024-05-03
Flour,Kicukiro,4005,2024-05-04
Flour,Nyabugogo,3636,2024-05-04
Potatoes,Kigali City Market,978,2024-05-04
Sorghum,Kimisagara,715,2024-05-04
Potatoes,Nyabugogo,900,2024-05-05
Cabbage,Kimisagara,455,2024-05-05
Maize,Nyabugogo,592,2024-05-05
Spinach,Kicukiro,376,2024-05-05
Cabbage,Kigali City Market,492,2024-05-06
Cabbage,Kicukiro,485,2024-05-06
Flour,Kimisagara,3705,2024-05-06
Maize Flour,Kicukiro,4234,2024-05-06
Sorghum,Kimisagara,691,2024-05-07
Spinach,Kimironko,356,2024-05-07
Spinach,Kimironko,383,2024-05-08
Sorghum,Kimironko,787,2024-05-09
Potatoes,Kicukiro,962,2024-05-10
Sorghum,Nyabugogo,730,2024-05-10
Potatoes,Nyabugogo,879,2024-05-11
Beans (Dry),Kicukiro,1489,2024-05-12
Sorghum,Nyabugogo,691,2024-05-12
Flour,Nyabugogo,3892,2024-05-13
Rice,Kimisagara,11194,2024-05-13
Maize Flour,Kimironko,4163,2024-05-13
Potatoes,Kigali City Market,956,2024-05-14
Spinach,Kigali City Market,367,2024-05-15
Maize Flour,Kimironko,4261,2024-05-15
Flour,Kicukiro,4100,2024-05-15
Spinach,Kimisagara,336,2024-05-15
Maize Flour,Kimisagara,3836,2024-05-16
Maize,Kimironko,583,2024-05-17
Maize,Kigali City Market,594,2024-05-17
Maize,Kicukiro,594,2024-05-17
Cabbage,Kimisagara,416,2024-05-17
Beans (Dry),Kicukiro,1380,2024-05-18
Cabbage,Nyabugogo,427,2024-05-19
Spinach,Kimisagara,321,2024-05-19
Maize Flour,Nyabugogo,4129,2024-05-19
Maize,Kigali City Market,604,2024-05-20
Maize Flour,Kicukiro,4310,2024-05-20
Cabbage,Kimironko,492,2024-05-20
Beans (Dry),Kigali City Market,1370,2024-05-20
Maize Flour,Nyabugogo,4121,2024-05-21
Maize Flour,Nyabugogo,3760,2024-05-21
Beans (Dry),Kicukiro,1375,2024-05-21
Rice,Kimisagara,10615,2024-05-22
Rice,Kimisagara,10970,2024-05-22
Cabbage,Kicukiro,473,2024-05-22
Flour,Nyabugogo,3664,2024-05-22
Rice,Kigali City Market,12290,2024-05-22
Spinach,Kicukiro,378,2024-05-22
Spinach,Kimironko,354,2024-05-23
Rice,Kicukiro,11203,2024-05-24
Potatoes,Kimironko,876,2024-05-25
Cabbage,Kicukiro,477,2024-05-25
Beans (Dry),Nyabugogo,1265,2024-05-26
Flour,Nyabugogo,3783,2024-05-26
Potatoes,Kimisagara,845,2024-05-26
Rice,Kimisagara,10132,2024-05-26
Sorghum,Kigali City Market,806,2024-05-26
Rice,Kimironko,11819,2024-05-28
Beans (Dry),Kigali City Market,1398,2024-05-29
Maize,Kimisagara,540,2024-05-29
Flour,Kicukiro,3873,2024-05-29
Beans (Dry),Kigali City Market,1444,2024-05-29
Spinach,Kimironko,358,2024-05-29
Bananas,Kimironko,654,2024-05-31
Maize Flour,Kicukiro,4220,2024-05-31
Maize Flour,Nyabugogo,3744,2024-05-31
Maize Flour,Kimisagara,3679,2024-05-31
Rice,Kimironko,11412,2024-05-31
Bananas,Kicukiro,676,2024-05-31
Rice,Kicukiro,11850,2024-06-01
Spinach,Kimironko,327,2024-06-01
Potatoes,Nyabugogo,852,2024-06-02
Maize,Kimisagara,524,2024-06-02
Maize Flour,Kimironko,3942,2024-06-02
Bananas,Nyabugogo,643,2024-06-02
Potatoes,Kicukiro,854,2024-06-02
Maize Flour,Kigali City Market,4423,2024-06-03
Cabbage,Kimironko,436,2024-06-03
Rice,Kimisagara,10805,2024-06-03
Spinach,Kicukiro,334,2024-06-03
Beans (Dry),Nyabugogo,1214,2024-06-03
Potatoes,Kicukiro,937,2024-06-03
Flour,Kigali City Market,3993,2024-06-03
Maize Flour,Kimisagara,3651,2024-06-04
Beans (Dry),Nyabugogo,1282,2024-06-04
Maize,Kigali City Market,579,2024-06-04
Beans (Dry),Kicukiro,1414,2024-06-04
Flour,Kigali City Market,3848,2024-06-05
Potatoes,Kimironko,861,2024-06-05
Bananas,Nyabugogo,629,2024-06-05
Bananas,Kicukiro,697,2024-06-05
Maize,Nyabugogo,524,2024-06-06
Flour,Kigali City Market,4189,2024-06-06
Sorghum,Kimisagara,695,2024-06-06
Spinach,Kimisagara,309,2024-06-06
Sorghum,Kimisagara,669,2024-06-06
Maize,Kigali City Market,594,2024-06-08
Potatoes,Kimisagara,787,2024-06-09
Spinach,Nyabugogo,325,2024-06-09
Beans (Dry),Kimisagara,1163,2024-06-10
Sorghum,Kicukiro,715,2024-06-10
Sorghum,Kimisagara,660,2024-06-10
Maize Flour,Kicukiro,3994,2024-06-11
Bananas,Nyabugogo,628,2024-06-11
Maize,Nyabugogo,539,2024-06-12
Spinach,Kimisagara,298,2024-06-13
Spinach,Kigali City Market,338,2024-06-13
Bananas,Nyabugogo,600,2024-06-13
Maize,Kimironko,541,2024-06-14
Rice,Kimironko,11570,2024-06-15
Flour,Kigali City Market,3809,2024-06-15
Beans (Dry),Kimisagara,1237,2024-06-15
Spinach,Kigali City Market,321,2024-06-16
Maize,Kigali City Market,602,2024-06-16
Maize Flour,Nyabugogo,3893,2024-06-16
Spinach,Kimisagara,288,2024-06-17
Cabbage,Nyabugogo,391,2024-06-17
Flour,Kicukiro,3976,2024-06-17
Sorghum,Kimisagara,659,2024-06-17
Bananas,Kigali City Market,681,2024-06-18
Maize,Kimironko,580,2024-06-18
Maize,Nyabugogo,536,2024-06-18
Maize Flour,Kicukiro,4257,2024-06-19
Maize,Nyabugogo,514,2024-06-19
Cabbage,Kimisagara,394,2024-06-19
Spinach,Kicukiro,337,2024-06-20
Spinach,Kimironko,324,2024-06-21
Flour,Kicukiro,3936,2024-06-21
Flour,Kimironko,3810,2024-06-22
Rice,Kimironko,10763,2024-06-22
Sorghum,Nyabugogo,690,2024-06-22
Maize,Kigali City Market,588,2024-06-22
Spinach,Nyabugogo,308,2024-06-22
Sorghum,Kigali City Market,760,2024-06-22
Bananas,Kimironko,633,2024-06-23
Maize,Nyabugogo,504,2024-06-23
Sorghum,Nyabugogo,657,2024-06-23
Rice,Kimisagara,9941,2024-06-23
Cabbage,Kimironko,428,2024-06-24
Sorghum,Kigali City Market,751,2024-06-24
Potatoes,Kimironko,857,2024-06-24
Bananas,Kimironko,623,2024-06-24
Cabbage,Nyabugogo,403,2024-06-24
Bananas,Kicukiro,627,2024-06-25
Maize Flour,Nyabugogo,3858,2024-06-25
Potatoes,Kimisagara,774,2024-06-25
Cabbage,Kimisagara,381,2024-06-25
Maize Flour,Kimironko,3959,2024-06-26
Cabbage,Kigali City Market,448,2024-06-26
Potatoes,Kimironko,853,2024-06-27
Beans (Dry),Kimisagara,1125,2024-06-27
Sorghum,Kigali City Market,704,2024-06-28
Maize,Kimisagara,511,2024-06-28
Sorghum,Kimisagara,668,2024-06-28
Bananas,Kigali City Market,608,2024-06-29
Potatoes,Nyabugogo,778,2024-06-29
Flour,Kimisagara,3359,2024-06-29
Bananas,Kimironko,618,2024-06-30
Flour,Nyabugogo,3380,2024-06-30
Cabbage,Kimisagara,363,2024-07-01
Beans (Dry),Kigali City Market,1352,2024-07-02
Flour,Nyabugogo,3469,2024-07-02
Flour,Kigali City Market,3948,2024-07-03
Maize Flour,Kicukiro,3978,2024-07-03
Potatoes,Kicukiro,848,2024-07-04
Sorghum,Nyabugogo,645,2024-07-05
Sorghum,Kimironko,710,2024-07-05
Cabbage,Kigali City Market,438,2024-07-06
Sorghum,Kimisagara,610,2024-07-06
Sorghum,Kigali City Market,688,2024-07-07
Bananas,Kimisagara,546,2024-07-07
Cabbage,Kigali City Market,402,2024-07-08
Spinach,Nyabugogo,269,2024-07-08
Spinach,Nyabugogo,259,2024-07-08
Cabbage,Nyabugogo,360,2024-07-09
Bananas,Kicukiro,579,2024-07-09
Maize Flour,Kimisagara,3634,2024-07-09
Flour,Kimironko,3748,2024-07-09
Flour,Kigali City Market,3899,2024-07-10
Rice,Kimisagara,9595,2024-07-11
Maize Flour,Nyabugogo,3686,2024-07-11
Cabbage,Kimironko,387,2024-07-12
Spinach,Kigali City Market,280,2024-07-12
Cabbage,Kicukiro,398,2024-07-12
Spinach,Kicukiro,290,2024-07-13
Cabbage,Kicukiro,390,2024-07-13
Flour,Nyabugogo,3503,2024-07-13
Bananas,Kicukiro,560,2024-07-13
Spinach,Kigali City Market,290,2024-07-14
Cabbage,Kigali City Market,399,2024-07-14
Cabbage,Kigali City Market,404,2024-07-14
Bananas,Kimisagara,510,2024-07-14
Spinach,Kicukiro,285,2024-07-14
Bananas,Kimisagara,501,2024-07-15
Rice,Nyabugogo,9734,2024-07-15
Bananas,Kigali City Market,566,2024-07-15
Spinach,Nyabugogo,267,2024-07-15
Cabbage,Kigali City Market,412,2024-07-15
Potatoes,Nyabugogo,751,2024-07-15
Bananas,Nyabugogo,510,2024-07-15
Potatoes,Kicukiro,777,2024-07-16
Beans (Dry),Kimironko,1177,2024-07-16
Potatoes,Kimironko,790,2024-07-16
Maize Flour,Kigali City Market,3914,2024-07-17
Potatoes,Kicukiro,738,2024-07-17
Potatoes,Kicukiro,750,2024-07-17
Sorghum,Nyabugogo,663,2024-07-17
Sorghum,Kigali City Market,695,2024-07-18
Rice,Kimironko,10453,2024-07-18
Flour,Kimisagara,3443,2024-07-19
Maize Flour,Kigali City Market,3920,2024-07-19
Flour,Kigali City Market,3867,2024-07-20
Potatoes,Kigali City Market,799,2024-07-20
Maize Flour,Kicukiro,4083,2024-07-20
Cabbage,Kigali City Market,412,2024-07-20
Potatoes,Kimisagara,674,2024-07-21
Beans (Dry),Kimironko,1173,2024-07-21
Maize,Kicukiro,535,2024-07-21
Flour,Kicukiro,3683,2024-07-21
Maize,Kimisagara,466,2024-07-21
Beans (Dry),Kicukiro,1158,2024-07-22
Beans (Dry),Kicukiro,1216,2024-07-22
Beans (Dry),Kicukiro,1227,2024-07-23
Maize,Kigali City Market,526,2024-07-24
Maize Flour,Kimisagara,3510,2024-07-24
Potatoes,Kimironko,777,2024-07-24
Rice,Kimisagara,9885,2024-07-24
Cabbage,Kimironko,379,2024-07-24
Bananas,Kimironko,557,2024-07-24
Maize,Kigali City Market,535,2024-07-25
Maize,Kigali City Market,515,2024-07-26
Beans (Dry),Kimisagara,1020,2024-07-26
Cabbage,Kimisagara,339,2024-07-26
Beans (Dry),Kigali City Market,1219,2024-07-26
Flour,Kimisagara,3261,2024-07-26
Cabbage,Kimisagara,353,2024-07-26
Potatoes,Kigali City Market,795,2024-07-27
Cabbage,Kicukiro,379,2024-07-27
Cabbage,Kimisagara,356,2024-07-27
Bananas,Kicukiro,548,2024-07-28
Bananas,Kimisagara,496,2024-07-28
Cabbage,Kigali City Market,377,2024-07-28
Beans (Dry),Nyabugogo,1040,2024-07-29
Sorghum,Kimironko,680,2024-07-29
Bananas,Kicukiro,556,2024-07-29
Beans (Dry),Kimironko,1186,2024-07-29
Spinach,Kicukiro,259,2024-07-30
Spinach,Kicukiro,251,2024-07-30
Flour,Kimironko,3760,2024-07-30
Cabbage,Kicukiro,367,2024-07-31
Bananas,Kimironko,521,2024-07-31
Potatoes,Kimisagara,653,2024-08-01
Cabbage,Kigali City Market,391,2024-08-02
Bananas,Nyabugogo,486,2024-08-02
Bananas,Kimironko,499,2024-08-02
Maize Flour,Kigali City Market,4011,2024-08-03
Maize Flour,Kimisagara,3449,2024-08-04
Flour,Kimisagara,3300,2024-08-05
Rice,Kimironko,10362,2024-08-05
Sorghum,Nyabugogo,598,2024-08-06
Potatoes,Nyabugogo,693,2024-08-07
Cabbage,Kicukiro,350,2024-08-07
Beans (Dry),Kimironko,1131,2024-08-08
Maize,Kimironko,472,2024-08-08
Flour,Kicukiro,3564,2024-08-09
Spinach,Nyabugogo,217,2024-08-10
Maize Flour,Kimironko,3708,2024-08-10
Flour,Kicukiro,3825,2024-08-10
Spinach,Kimironko,245,2024-08-10
Maize,Nyabugogo,448,2024-08-11
Sorghum,Kimisagara,578,2024-08-11
Beans (Dry),Kigali City Market,1155,2024-08-12
Spinach,Kimironko,244,2024-08-12
Beans (Dry),Kimisagara,983,2024-08-13
Cabbage,Kigali City Market,362,2024-08-14
Flour,Kicukiro,3814,2024-08-14
Maize Flour,Nyabugogo,3629,2024-08-14
Beans (Dry),Kicukiro,1141,2024-08-14
Maize Flour,Kimironko,3638,2024-08-15
Sorghum,Kimironko,655,2024-08-15
Potatoes,Kimisagara,612,2024-08-15
Cabbage,Nyabugogo,318,2024-08-17
Cabbage,Kigali City Market,361,2024-08-17
Potatoes,Nyabugogo,679,2024-08-17
Sorghum,Kicukiro,650,2024-08-18
Beans (Dry),Kigali City Market,1162,2024-08-18
Maize Flour,Kicukiro,3775,2024-08-18
Maize,Kigali City Market,518,2024-08-18
Rice,Kimironko,10131,2024-08-19
Bananas,Kicukiro,501,2024-08-20
Rice,Kimironko,10849,2024-08-20
Beans (Dry),Kicukiro,1108,2024-08-20
Rice,Kimironko,10555,2024-08-20
